,category,sub_category,crimeaditionalinfo
3,Report Unlawful Content,Against Interest of sovereignty or integrity of India,"On Twitter, I saw a tweet from a user named Vikram Singh who is inciting violence against the government. He is using derogatory language against our Prime Minister. This is unacceptable. I urge you to take necessary action."
197,Ransomware,Ransomware,"Maine ek suspicious link par click kiya aur ab mera computer ransomware se infect ho gaya hai. Sab files encrypt ho gayi hain aur hackers ransom maang rahe hain. Main bahut worried hoon, please help."
378,Online and Social Media Related Crime,EMail Phishing,"Mujhe ek email mila jo kisi government office se aayi thi, unhone mere personal details maange. Yeh fake lag raha tha, lekin mujhe dar hai ki koi aur isme phas jaaye."
782,Online and Social Media Related Crime,Online Matrimonial Fraud,"Mujhe ek matrimony site par ek profile mili thi, jiska naam Priya tha. Usne mujhe bola ki usse paise chahiye apne ghar ke liye. Maine 10,000 bheje, ab wo mujhe ignore kar rahi hai. Kripya meri madad karein."
644,Hacking  Damage to computercomputer system etc,Website DefacementHacking,Mujhe ek message aaya tha jisme bola gaya tha ki mujhe apna password reset karna hai. Maine kiya aur ab mera account hack ho gaya hai.
1127,Hacking  Damage to computercomputer system etc,Email Hacking,Mera email account hack ho gaya hai aur mujhe apne saare important emails nahi mil rahe. Koi unknown person mere email se fraud kar raha hai. Kripya meri madad karein.
900,Cyber Terrorism,Cyber Terrorism,"Mujhe ek message aaya tha ki main ek contest jeeta hoon, lekin jab maine details maangi, toh unhone mujhe blackmail karna shuru kar diya. Unhone mere contacts ko bhi threaten kiya hai. Please help!"
607,Hacking  Damage to computercomputer system etc,Website DefacementHacking,Mera email account hack ho gaya hai. Kisi ne mujhe ek suspicious link bheja tha aur maine us par click kiya. Ab mera account control mein nahi hai.
566,Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,"Mujhe ek app se call aaya, unhone bola ki unhone mera data hack kar liya hai. Main bahut pareshan hoon, please help."
8,Report Unlawful Content,Against Interest of sovereignty or integrity of India,There is a blog post by a user named Anil Gupta that is spreading misinformation about the Indian government and its policies. He is trying to create distrust among the citizens. This is against the interest of our nation. Please look into it.
861,Online Cyber Trafficking,Online Trafficking,Kisi ne mujhe WhatsApp par message kiya aur bola ki unke paas meri private photos hain. Agar maine unhe paise nahi diye to wo unhe share karenge. Main bahut pareshan hoon!
1220,Online Financial Fraud,Business Email CompromiseEmail Takeover,"Sir, mujhe ek email aayi thi jismein bola gaya tha ki mujhe ek business opportunity mil rahi hai. Maine paise bheje, par ab unka koi pata nahi. Yeh fraud hai, please madad karein."
82,Report Unlawful Content,Against Interest of sovereignty or integrity of India,A video on Instagram shows a person named Rahul promoting anti-India slogans. He is inciting violence and hatred among communities. Request you to take immediate action.
1075,Online and Social Media Related Crime,Provocative Speech for unlawful acts,"I am receiving threats from someone on social media who claims to have my personal information. They are demanding money, and I feel unsafe."
690,Hacking  Damage to computercomputer system etc,Website DefacementHacking,Mera Twitter account kisi ne hack kar diya hai. Maine ek link pe click kiya tha aur ab mera account lock ho gaya hai. Kripya meri madad karein.
674,Hacking  Damage to computercomputer system etc,Website DefacementHacking,My Facebook account was hacked after I received a suspicious message. Now I can't log in. Please assist me in recovering it.
483,Online and Social Media Related Crime,Impersonating Email,"Mujhe ek email aayi thi jisme kisi ne mere dost ka naam lekar mujhe paise bhejne ko bola. Maine unhe pehle se hi jaanata tha, toh maine unse confirm kiya aur pata chala ki ye sab fake tha."
653,Hacking  Damage to computercomputer system etc,Website DefacementHacking,"Mera Facebook ID kisi ne hack kar liya hai. Usne mera password change kar diya hai aur ab main login nahi kar pa raha. Please help me, sir."
1074,Online and Social Media Related Crime,Provocative Speech for unlawful acts,"Mujhe ek video call aayi thi jisme ek ladki ne gandi baatein ki. Maine call disconnect kar diya, lekin ab wo mujhe blackmail kar rahi hai."
519,Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,"Mera system kisi virus se affect ho gaya hai. Ab main apne files nahi khol pa raha hoon. Kripya meri madad karein, mujhe bahut zarurat hai."
800,Online Cyber Trafficking,Online Trafficking,"Mujhe ek unknown number se call aaya, wo mujhe paise bhejne ke liye keh raha tha. Usne kaha agar nahi diya toh meri personal photos share karega. Please meri madad karein."
740,Online and Social Media Related Crime,Online Matrimonial Fraud,"Hello, I was looking for a bride on a matrimony website and a girl named Simran contacted me. She asked for money to help her with a family emergency. I sent her Rs 35,000, but now I feel cheated. Please investigate this case."
857,Online Cyber Trafficking,Online Trafficking,"I was chatting with someone online who promised me a job, but now they are asking for money for registration. I feel like I am being scammed. Please help!"
1447,Child Pornography CPChild Sexual Abuse Material CSAM,,Mere dost ko ek link mila Telegram par jisme bachon ki inappropriate photos hain. Usne mujhe bheja aur ab mujhe samajh nahi aa raha ki kya karun. Please madad karein.
111,Ransomware,Ransomware,"Mere computer par ek ransomware attack hua hai, sabhi files encrypt ho gaye hain. Mujhe bahut zaroori documents chahiye, lekin ab main unhe access nahi kar pa raha hoon. Kya aap meri madad kar sakte hain?"
1225,Online Financial Fraud,Business Email CompromiseEmail Takeover,"Dear Sir, mujhe ek company se email aayi thi jo mujhe business partnership ka offer de rahi thi. Maine unhe documents bheje aur paise transfer kiye, par ab unka koi pata nahi. Yeh fraud hai, please investigate karein."
1018,Online and Social Media Related Crime,Provocative Speech for unlawful acts,Mujhe ek loan app se paise chahiye the aur ab voh log mujhe harass kar rahe hain. Unhone mere family ke logon ko bhi galiyaan di hain. Kripya kuch karein.
407,Online and Social Media Related Crime,Impersonating Email,Mujhe ek email aayi thi jismein kisi ne mere naam se paise maange the. Maine jab apne boss se baat ki to unhone mujhe bataya ki unhone mujhe koi email nahi bheji. Kripya meri madad karein.
1040,Online and Social Media Related Crime,Provocative Speech for unlawful acts,Mere dost ko ek unknown number se call aaya aur usne usse gandi baatein ki. Usne mujhe bola ki ab voh mujhe bhi pareshan karega. Kripya madad karein.
1402,Child Pornography CPChild Sexual Abuse Material CSAM,,Mere dost ko ek link mila Telegram par jisme bachon ki inappropriate photos hain. Usne mujhe bheja aur ab mujhe samajh nahi aa raha ki kya karun. Please madad karein.
803,Online Cyber Trafficking,Online Trafficking,"Maine ek online loan liya tha, ab wo log mujhe paise ke liye dhamki de rahe hain. Agar nahi diya toh mere dost aur parivaar ko meri private photos bhejenge."
683,Hacking  Damage to computercomputer system etc,Website DefacementHacking,My official website was cloned by someone. They created a fake site with my name and logo. I need help to take it down.
1269,Online Financial Fraud,Business Email CompromiseEmail Takeover,"Mujhe ek email aayi thi jismein bola gaya tha ki mujhe ek accha investment opportunity mil raha hai. Unhone mujhe paise transfer karne ko bola, lekin ab wo mujhe ignore kar rahe hain."
221,Online and Social Media Related Crime,Intimidating Email,I got an email from a person named Neha who is threatening to leak my private information unless I pay her. I am really anxious about this. The email ID is neha.threats@gmail.com. Please assist me.
334,Online and Social Media Related Crime,EMail Phishing,"Sir, I received a suspicious email from someone claiming to be a bank representative, asking for my personal information. I think it’s a phishing attempt."
594,Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,Mujhe lagta hai ki mere email account ko hack kar liya gaya hai. Koi unknown log mere naam se spam bhej rahe hain. Please help me secure it.
1229,Online Financial Fraud,Business Email CompromiseEmail Takeover,"Ek company ne mujhe email kiya tha ki mujhe unke saath business karna hai. Maine unhe paise bheje, lekin ab unka email band ho gaya hai. Yeh log bahut logon ko dhoka de rahe hain."
1413,Child Pornography CPChild Sexual Abuse Material CSAM,,"Ek aadmi mujhe Facebook par har waqt harass kar raha hai aur keh raha hai ki agar main usse nahi milti toh wo meri photos viral kar dega. Yeh bahut serious hai, please madad karein."
1449,Child Pornography CPChild Sexual Abuse Material CSAM,,Mujhe ek unknown ID se kuch vulgar messages mil rahe hain jo mere friends ko bhi tag kar rahe hain. Wo mujhe bad pictures bhejne ke liye keh rahe hain. Please iski jaanch karein.
498,Online and Social Media Related Crime,Impersonating Email,"I received a phishing email that looked like it was from my HR department. It asked me to verify my personal information. I didn’t click on any links, but I’m worried others might fall for it."
884,Online Cyber Trafficking,Online Trafficking,Kisi ne mujhe call kiya aur bola ki unke paas meri private photos hain. Agar maine unhe paise nahi diye to wo unhe share karenge. Main bahut pareshan hoon!
1408,Child Pornography CPChild Sexual Abuse Material CSAM,,Mujhe ek link mila jisme bachon ki sexual abuse material hai. Yeh bahut disturbing hai aur main chahti hoon ki aap is par action lein.
1174,Hacking  Damage to computercomputer system etc,Email Hacking,"My email ID was hacked, and now I am receiving threatening messages from someone. They claim to have my personal information. I need urgent help to resolve this issue."
345,Online and Social Media Related Crime,EMail Phishing,"Sir, I got a call from a number claiming to be from a lottery company, asking for my personal details to claim a prize. I think it’s a fraud. Please take action."
1387,Online Gambling  Betting,Online Gambling  Betting,I was playing a game that promised cash rewards. I deposited ₹1000 but now I can't access my account. Please help me get my money back!
324,Online and Social Media Related Crime,EMail Phishing,"Sir, I got a call from a number claiming to be from a loan company, asking for my personal information. I didn’t share anything, but I feel unsafe."
1251,Online Financial Fraud,Business Email CompromiseEmail Takeover,"Sir, I got an email from a fake company offering a loan. They asked for a processing fee upfront. After I paid, they kept asking for more money. I realized it was a fraud and want to report this incident."
542,Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,"Sir, mujhe kisi ne blackmail kiya hai. Usne meri personal photos aur videos ko leak karne ki dhamki di hai. Uska number ye hai: 9876543210. Kripya is par action lein."
1422,Child Pornography CPChild Sexual Abuse Material CSAM,,"Ek aadmi mujhe blackmail kar raha hai aur keh raha hai ki agar main usse paise nahi doongi toh wo meri private photos social media par daal dega. Yeh bahut serious hai, please help."
1310,Online Gambling  Betting,Online Gambling  Betting,"Mujhe ek call aayi thi jisme bola gaya tha ki agar main paise doon toh mujhe double milenge. Maine unki baatein maani aur paise bheje, ab mujhe samajh aaya ki yeh scam hai."
1089,Online and Social Media Related Crime,Provocative Speech for unlawful acts,"Someone is sending me vulgar messages on Instagram, saying they will ruin my reputation if I don't respond. I am very scared and need assistance."
795,Online and Social Media Related Crime,Online Matrimonial Fraud,"I was chatting with a girl on a matrimonial site named Simran. She asked me for money to help her with a family emergency. I sent her Rs. 7,000, but now she is not responding. I feel like I’ve been scammed."
1035,Online and Social Media Related Crime,Provocative Speech for unlawful acts,Mujhe ek video call aayi jisme ek ladki ne mujhe nude dikhaya aur ab voh mujhe blackmail kar rahi hai. Main bahut tension mein hoon. Kya karun?
490,Online and Social Media Related Crime,Impersonating Email,"I received a fake email from someone pretending to be my supervisor. They wanted me to transfer funds for a project. I didn’t send any money, but I want to make sure this doesn’t happen to anyone else."
134,Ransomware,Ransomware,"Mere system par ek ransomware attack hua hai, sabhi files ab .locked format mein hain. Maine bahut koshish ki, lekin koi solution nahi mila. Kya aap meri madad kar sakte hain?"
71,Report Unlawful Content,Against Interest of sovereignty or integrity of India,Maine WhatsApp par ek post dekha jisme koi hamare sena ke operations ke baare mein jhooti khabrein phela raha hai. Yeh desh ki suraksha ke liye khatarnaak hai. Kripya action lein.
274,Online and Social Media Related Crime,Intimidating Email,I received an email from someone who claims to know my secrets and is threatening to expose me if I don’t pay them. I am really scared and don’t know what to do next.
1022,Online and Social Media Related Crime,Provocative Speech for unlawful acts,Mujhe ek app se loan lene par ab voh log mujhe dhamki de rahe hain ki mere personal details social media par share kar denge. Main bahut pareshan hoon.
13,Report Unlawful Content,Against Interest of sovereignty or integrity of India,I saw a post on LinkedIn by a user named Arjun Mehta who is promoting anti-India sentiments and encouraging people to protest against our government. This is not acceptable. Please investigate this matter.
1327,Online Gambling  Betting,Online Gambling  Betting,"Mujhe ek link mila tha WhatsApp par, jisme bola gaya tha ki main paise invest karun. Maine kiya aur ab mujhe kuch nahi mila. Kya aap meri madad kar sakte hain?"
558,Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,"I received a call from someone claiming to be from tech support. They asked for my computer access, and now I think they have hacked my system. Please help!"
622,Hacking  Damage to computercomputer system etc,Website DefacementHacking,Mujhe ek message aaya tha jisme bola gaya tha ki mujhe apna password reset karna hai. Maine kiya aur ab mera account hack ho gaya hai.
1094,Online and Social Media Related Crime,Provocative Speech for unlawful acts,"Mujhe ek video call aayi thi jisme ek ladki ne gandi baatein ki. Maine call disconnect kar diya, lekin ab wo mujhe blackmail kar rahi hai."
750,Online and Social Media Related Crime,Online Matrimonial Fraud,"I found a profile on a matrimonial site and started chatting with a girl named Neha. She seemed genuine, but then she asked me for money to help her with some customs fees. I feel like I’ve been scammed. Please help me get my money back."
858,Online Cyber Trafficking,Online Trafficking,"I received a message from a number asking for my personal details to avoid account suspension. I ignored it, but now they are blackmailing me. What should I do?"
381,Online and Social Media Related Crime,EMail Phishing,"Mujhe ek WhatsApp message aaya tha jisme bola gaya tha ki main ek contest jeeta hoon. Unhone mere bank details maange, par maine kuch nahi diya."
422,Online and Social Media Related Crime,Impersonating Email,Mujhe ek email aayi thi jismein kisi ne mere naam se paise maange the. Maine jab apne boss se baat ki to unhone mujhe bataya ki unhone mujhe koi email nahi bheji. Kripya meri madad karein.
572,Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,My computer has been acting strange since I downloaded a new software. I suspect it has malware. I need help to remove it.
553,Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,Someone is trying to access my email account without my permission. They are sending spam messages from my ID. I need help to secure my account.
1241,Online Financial Fraud,Business Email CompromiseEmail Takeover,"Ek company ne mujhe email kiya tha ki mujhe unke saath business karna hai. Maine unhe paise bheje, lekin ab unka email band ho gaya hai. Yeh log bahut logon ko dhoka de rahe hain."
230,Online and Social Media Related Crime,Intimidating Email,I have been receiving emails from someone who claims to have sensitive information about me. They are demanding money to keep quiet. The email ID is threatener789@gmail.com. Please help!
825,Online Cyber Trafficking,Online Trafficking,Mujhe ek video call aayi thi jisme kisi ne meri video record ki aur ab mujhe paise ke liye blackmail kar raha hai. Main kya karun?
373,Online and Social Media Related Crime,EMail Phishing,"I got a call from a number claiming to be from a lottery company. They said I won a prize and needed to pay a fee. I didn’t pay, but I feel uneasy."
363,Online and Social Media Related Crime,EMail Phishing,"Mujhe ek email mila jo kisi government office se aayi thi, unhone mere personal details maange. Yeh fake lag raha tha, lekin mujhe dar hai ki koi aur isme phas jaaye."
184,Ransomware,Ransomware,"My system was attacked by ransomware, and all my files are now locked. The hackers left a note asking for a ransom in cryptocurrency. I am very anxious about this situation and need help to retrieve my files."
1384,Online Gambling  Betting,Online Gambling  Betting,I was tricked into investing in an online gambling site. They promised high returns but now they are not allowing withdrawals. Please help me recover my money!
716,Online and Social Media Related Crime,Online Matrimonial Fraud,"Respected Cyber Cell, I met a girl on a matrimony app who claimed to be from Mumbai. After a few days, she asked me to send money for her medical emergency. I sent her Rs 20,000, but now she is not responding. Please take action against her."
1107,Hacking  Damage to computercomputer system etc,Email Hacking,Mera email account hack ho gaya hai aur ab mujhe apne bank details tak nahi mil rahe. Koi unknown person mere email se paise transfer kar raha hai. Kripya meri madad karein.
875,Online Cyber Trafficking,Online Trafficking,"Mujhe ek unknown number se call aaya tha, unhone kaha ki mujhe loan mila hai aur unhone mere bank details maange. Ab wo mujhe paise dene ke liye dhamki de rahe hain. Kya karun?"
969,Cyber Terrorism,Cyber Terrorism,"Kuch din pehle mujhe ek message aaya tha ki maine koi prize jeeta hai. Jab maine unse baat ki, toh unhone mere bank details maange. Ab mujhe lagta hai ki ye log mujhe fraud kar rahe hain."
201,Online and Social Media Related Crime,Intimidating Email,Someone is sending me emails saying they have personal photos of me and will share them if I don't comply with their demands. I am really scared and need your help. The email ID is threatsender@yahoo.com.
600,Hacking  Damage to computercomputer system etc,Website DefacementHacking,Mera Instagram account hack ho gaya hai. Kisi ne mujhe ek link bheja tha aur maine us par click kiya. Ab main login nahi kar pa raha hoon. Kripya madad karein.
1039,Online and Social Media Related Crime,Provocative Speech for unlawful acts,Mujhe ek message aaya hai jisme mere photo ko edit karke mujhe dhamki di gayi hai. Yeh sab social media par share karne ki dhamki hai. Main bahut pareshan hoon.
1134,Hacking  Damage to computercomputer system etc,Email Hacking,"Mujhe pata chala ki mera email id kisi ne use karke fake account banaya hai. Maine Instagram se email dekha tha. Mera personal data ab kisi ke paas hai, mujhe dar hai ki wo misuse karega."
1483,Child Pornography CPChild Sexual Abuse Material CSAM,,"Mujhe ek call aayi hai jismein koi meri private videos ko leak karne ki dhamki de raha hai. Main bahut anxious feel kar rahi hoon, isse resolve karne mein madad karein."
1222,Online Financial Fraud,Business Email CompromiseEmail Takeover,"Sir, mujhe ek email se contact kiya gaya tha jo mujhe ek fake loan offer de raha tha. Maine unhe paise diye, par ab mujhe samajh aaya ki yeh sab fraud hai. Please meri madad karein."
293,Online and Social Media Related Crime,Intimidating Email,I am getting repeated emails from a person who is harassing me with false accusations. They are using different email IDs and I feel very intimidated. Please help me take action against this.
711,Online and Social Media Related Crime,Online Matrimonial Fraud,"Respected Cyber Cell, I met a girl on a matrimonial site who seemed genuine. After a few conversations, she asked for money to help her with a business. I transferred Rs 40,000, but now she has blocked me. Please help."
1420,Child Pornography CPChild Sexual Abuse Material CSAM,,"Ek ladka mujhe Facebook par har waqt harass kar raha hai aur keh raha hai ki agar main usse nahi milti toh wo meri photos viral kar dega. Yeh bahut serious hai, please madad karein."
1016,Online and Social Media Related Crime,Provocative Speech for unlawful acts,Mere dost ko ek unknown number se call aaya aur usne usse gandi baatein ki. Usne mujhe bola ki ab voh mujhe bhi pareshan karega. Kripya madad karein.
1258,Online Financial Fraud,Business Email CompromiseEmail Takeover,"Sir, I received a call from someone claiming to be a loan officer. They asked for my personal details and a fee to process my loan. I didn't provide any information, but I suspect they are scamming people."
1004,Online and Social Media Related Crime,Provocative Speech for unlawful acts,Mere dost ko ek unknown number se call aaya aur usne usse gandi baatein ki. Usne mujhe bola ki ab voh mujhe bhi pareshan karega. Kripya madad karein.
1346,Online Gambling  Betting,Online Gambling  Betting,"Sir, mujhe ek app ke through gambling ka shauk laga tha, lekin ab mujhe samajh aaya ki yeh sab fraud hai. Maine bahut paise kho diye hain. Kya aap meri madad kar sakte hain?"
250,Online and Social Media Related Crime,Intimidating Email,I have been receiving threatening emails from someone claiming to have sensitive information about me. They are demanding money to keep it secret. I am really scared and need help to stop this person.
109,Ransomware,Ransomware,"Mere laptop par ek ransomware virus aaya hai, sabhi files ab .encrypted format mein hain. Mujhe bahut zaroori data chahiye, lekin main unhe access nahi kar pa raha hoon. Kya aap meri madad kar sakte hain?"
851,Online Cyber Trafficking,Online Trafficking,"Someone is sending me messages on WhatsApp, pretending to be a friend. They are asking for money urgently and saying they are in trouble. I feel something is off. Please assist me!"
397,Online and Social Media Related Crime,EMail Phishing,Mujhe ek phishing email mili jo kisi job recruiter se aayi thi. Unhone mere personal information aur processing fee maangi. Yeh scam lag raha tha.
1433,Child Pornography CPChild Sexual Abuse Material CSAM,,"Koi mujhe WhatsApp par har roz message karke meri private photos maang raha hai. Agar nahi di toh wo mujhe dhamki de raha hai. Yeh bahut serious hai, please help."
1154,Hacking  Damage to computercomputer system etc,Email Hacking,"My email ID was hacked, and now I am receiving threatening messages from someone. They claim to have my personal information. I need urgent help to resolve this issue."
789,Online and Social Media Related Crime,Online Matrimonial Fraud,"Hello, I was chatting with a girl on a matrimonial app who said her name is Pooja. She asked for money to pay for her brother's wedding. I sent her Rs. 5,000, but now she is not responding. I suspect fraud."
171,Ransomware,Ransomware,"Mere laptop par ransomware ka attack hua hai aur sab files lock ho gayi hain. Hackers ne mujhe Bitcoin mein payment karne ko bola hai. Yeh mere liye bahut zaroori data hai, please help."
114,Ransomware,Ransomware,"Mere system par ek ransomware attack hua hai, sabhi files ab .locked format mein hain. Maine bahut koshish ki, lekin koi solution nahi mila. Kya aap meri madad kar sakte hain?"
1053,Online and Social Media Related Crime,Provocative Speech for unlawful acts,"My friend received a video call from a fake profile, and they started blackmailing her. They are demanding money or they will leak her private videos."
1329,Online Gambling  Betting,Online Gambling  Betting,"Kuch log mujhe call karke keh rahe hain ki main agar unhe paise doon toh mujhe lottery jeetne ka chance milega. Maine unhe apni details di thi, ab mujhe dar lag raha hai."
398,Online and Social Media Related Crime,EMail Phishing,"Mujhe ek email aayi thi jo bank se lag rahi thi, unhone mere account details maange. Maine ignore kiya, par mujhe dar hai ki koi aur isme phas jaaye."
110,Ransomware,Ransomware,"Maine ek software download kiya tha aur uske baad mere saare data encrypt ho gaye. Ransomware ne mujhe bitcoin mein payment karne ke liye bola hai. Main bahut pareshan hoon, please help!"
1260,Online Financial Fraud,Business Email CompromiseEmail Takeover,"Mujhe ek email aayi thi jismein bola gaya tha ki mujhe business partnership offer ki ja rahi hai. Unhone pehle investment ki maang ki aur fir paise lene ke baad contact band kar diya. Yeh fraud hai, mujhe report karna hai."
189,Ransomware,Ransomware,"Mere laptop par ransomware ka attack hua hai aur sab files ab access nahi ho rahi hain. Hackers ne mujhe Bitcoin mein payment karne ko bola hai. Yeh mere liye bahut zaroori hai, please meri madad karein."
856,Online Cyber Trafficking,Online Trafficking,"I got a call from someone claiming to be from the bank, asking for my OTP. I didn’t share it, but now they are sending me threatening messages. I need help!"
355,Online and Social Media Related Crime,EMail Phishing,"I got a call from someone saying they were from a tech support team. They asked for my email and password to fix an issue. I didn’t give it, but it felt very fishy."
294,Online and Social Media Related Crime,Intimidating Email,I received an email from someone who claims to know my secrets and is threatening to expose me if I don’t pay them. I am really scared and don’t know what to do next.
53,Report Unlawful Content,Against Interest of sovereignty or integrity of India,"On Twitter, a user named Ankit Verma is sharing posts that incite hatred against our country. He is promoting the idea of a separate nation for a particular community. Request you to take strict action."
1391,Online Gambling  Betting,Online Gambling  Betting,Main ek online game khel raha tha aur unhone mujhe paise deposit karne ko bola. Maine ₹2000 kho diye aur ab mera account access nahi ho raha. Kripya madad karein!
190,Ransomware,Ransomware,"I was working on my computer when a ransomware virus attacked. Now, all my files are encrypted, and the hackers are demanding a ransom in Bitcoin. I need help to recover my important data."
1182,Hacking  Damage to computercomputer system etc,Email Hacking,Mujhe kuch din pehle apne email se ek suspicious email mila. Ab mujhe lagta hai ki mera account hack ho gaya hai. Kripya meri madad karein.
736,Online and Social Media Related Crime,Online Matrimonial Fraud,"Respected Sir, I was approached by a girl on a matrimony app who claimed to be a doctor. She asked for money to help her with a charity project. I sent her Rs 18,000, but now I suspect it was all a scam. Please help me recover my money."
215,Online and Social Media Related Crime,Intimidating Email,I have been receiving emails from someone who claims to have sensitive information about me. They are demanding money to keep quiet. The email ID is threatener456@gmail.com. Please help!
1438,Child Pornography CPChild Sexual Abuse Material CSAM,,Mujhe ek link mila jisme bachon ki sexual abuse material hai. Yeh bahut disturbing hai aur main chahti hoon ki aap is par action lein.
520,Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,"Mujhe ek online loan app se loan mila tha, ab wo log mujhe har roz call kar rahe hain. Unhone meri contacts ki details access kar li hain aur ab wo mere contacts ko meri khilaf gandi messages bhej rahe hain. Kripya kuch karein."
260,Online and Social Media Related Crime,Intimidating Email,Mujhe kuch ajeeb emails aa rahe hain jisme koi mujhe dhamki de raha hai ki uske paas meri personal photos hain. Woh paisa maang raha hai. Main bahut pareshan hoon aur madad chahiye.
938,Cyber Terrorism,Cyber Terrorism,"Mujhe ek app se loan mila tha, ab wo log mujhe har din pareshan kar rahe hain. Unhone mere dost logon ko bhi call kiya hai aur unhe dhamki di hai. Kya aap meri madad kar sakte hain?"
1183,Hacking  Damage to computercomputer system etc,Email Hacking,"Mera email ID hack ho gaya hai, aur ab mujhe login karne ka option nahi mil raha. Kripya meri madad karein, mujhe bahut pareshani ho rahi hai."
257,Online and Social Media Related Crime,Intimidating Email,I got an email from someone who claims to have hacked my account and is threatening to release my private information. I am really worried and need guidance on how to handle this situation.
681,Hacking  Damage to computercomputer system etc,Website DefacementHacking,"I clicked on a suspicious link sent by a friend, and now my Instagram account is compromised. Please assist me in recovering it."
609,Hacking  Damage to computercomputer system etc,Website DefacementHacking,Mujhe ek call aayi thi jisme bola gaya tha ki mujhe apne bank details dene hain. Maine diya aur ab mujhe pata chala ki mera account hack ho gaya hai.
34,Report Unlawful Content,Against Interest of sovereignty or integrity of India,"On TikTok, a user named Kavita Singh is making videos that mock our national symbols and promote separatism. This is disrespectful and harmful. I request you to take action against her account."
1208,Online Financial Fraud,Business Email CompromiseEmail Takeover,"Sir, mujhe ek email aayi thi jismein bola gaya tha ki mujhe ek business opportunity mil rahi hai. Maine paise bheje, par ab unka koi pata nahi. Yeh fraud hai, please madad karein."
662,Hacking  Damage to computercomputer system etc,Website DefacementHacking,Someone created a fake version of my website and is using it to scam people. I need urgent help to take legal action against them.
745,Online and Social Media Related Crime,Online Matrimonial Fraud,"Sir, I was looking for a bride on a matrimonial site and a girl named Riya contacted me. She seemed genuine, but after some chats, she started asking for money for various reasons. I suspect it's a scam. Please help me recover my money."
241,Online and Social Media Related Crime,Intimidating Email,I received a threatening email from a person claiming to be from a law firm. They are accusing me of something serious and demanding money. The email ID is fake.lawyer789@gmail.com. Please help me!
98,Report Unlawful Content,Against Interest of sovereignty or integrity of India,Mujhe ek tweet mila Suman Gupta se jo hamare desh aur leaders ke khilaf nafrat bhadka rahi hai. Yeh content ghalat hai aur iski jaanch honi chahiye.
1248,Online Financial Fraud,Business Email CompromiseEmail Takeover,"Sir, mujhe ek email aayi thi jismein bola gaya tha ki mujhe investment karna hai. Maine unhe paise bheje, lekin ab unka contact band ho gaya hai. Yeh log bahut logon ko dhoka de rahe hain. Please madad karein."
1350,Online Gambling  Betting,Online Gambling  Betting,I received a call from someone claiming I won a lottery. They asked for my bank details and Aadhar number to transfer the money. I feel it's a scam. Please help!
517,Hacking  Damage to computercomputer system etc,Damage to computer computer systems etc,"Mera laptop kisi ne hack kar liya hai. Ab main apne documents nahi dekh pa raha hoon. Mujhe bahut dikkat ho rahi hai, please help."
123,Ransomware,Ransomware,"Mera phone ransomware se attack hua hai aur sabhi photos aur videos encrypt ho gaye hain. Mujhe unhe wapas chahiye, lekin hackers ne mujhe payment karne ke liye bola hai. Kya aap kuch kar sakte hain?"
1389,Online Gambling  Betting,Online Gambling  Betting,I lost ₹3000 in an online gambling app. They promised quick returns but now they are not responding. Please help me recover my money!
1264,Online Financial Fraud,Business Email CompromiseEmail Takeover,"Mujhe ek message aaya tha jismein bola gaya tha ki mujhe loan milne wala hai. Unhone processing fee maangi aur jab maine pay kiya, tab wo gayab ho gaye. Kripya meri madad karein."
31,Report Unlawful Content,Against Interest of sovereignty or integrity of India,A Twitter user named Riya Sharma is spreading false propaganda against our armed forces. She is trying to create a negative image of our country. This is harmful and should be addressed immediately.
929,Cyber Terrorism,Cyber Terrorism,"Kuch din pehle mujhe ek message aaya tha ki mera bank account hack ho gaya hai. Ab wo log mujhe paise bhejne ke liye keh rahe hain, warna mere contacts ko bata denge. Main bahut pareshan hoon!"
270,Online and Social Media Related Crime,Intimidating Email,I have been receiving emails from someone who is threatening to expose my private life unless I pay them money. I am really scared and need help to stop this.
768,Online and Social Media Related Crime,Online Matrimonial Fraud,"I met a girl named Rani on a matrimony site. After a few days, she asked for money to help her with a loan. I transferred Rs. 20,000, but now I think it was a scam. Please help me recover my money."
1082,Online and Social Media Related Crime,Provocative Speech for unlawful acts,"Mujhe ek video call aayi thi jisme ek ladki ne gandi baatein ki. Maine call disconnect kar diya, lekin ab wo mujhe blackmail kar rahi hai."
480,Online and Social Media Related Crime,Impersonating Email,"I received an email from someone pretending to be my boss, asking for money to be sent urgently. I didn’t send anything, but I want to report this fraud."
1023,Online and Social Media Related Crime,Provocative Speech for unlawful acts,Mujhe ek video call aayi jisme ek ladki ne mujhe nude dikhaya aur ab voh mujhe blackmail kar rahi hai. Main bahut tension mein hoon. Kya karun?
